Customer ID,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,Satisfaction Score,City,Zip Code,Latitude,Longitude,Quarter,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Population,Monthly Refunds,Monthly Extra Data Charges,Monthly Long Distance Charges
4430-YHXGG,,71.0,1.0,0.0,1.0,1.0,0.0,3.0,1101,,,,0,1.0,,3.0,5,,2.26,1.0,0.0,2,3.0,1.0,1.0,1.0,,1.0,1.0,1.0,0.0,0,0.0,0,70.4,204.7,0.0,0.0,6.779999999999999,211.48,,0.0,0.0,2.26
6769-DYBQN,1.0,70.0,1.0,0.0,1.0,1.0,0.0,,629,,34.2112,-118.230625,0,1.0,0.0,15.0,0,,7.99,1.0,0.0,4,,1.0,0.0,1.0,1.0,,1.0,1.0,0.0,0,,3,75.3,1147.45,0.0,0.0,119.85,1267.3,,0.0,0.0,7.989999999999999
6432-TWQLB,1.0,79.0,1.0,0.0,,1.0,0.0,,120,,34.188339,-118.300942,0,1.0,0.0,1.0,0,1.0,0.0,1.0,0.0,0,26.0,1.0,1.0,1.0,1.0,,1.0,1.0,0.0,0,0.0,0,,36.45,0.0,0.0,0.0,,,0.0,0.0,0.0
5208-FVQKB,1.0,73.0,1.0,0.0,0.0,1.0,0.0,1.0,1101,,,,0,0.0,1.0,47.0,0,0.0,38.31,,0.0,4,7.0,,1.0,1.0,1.0,1.0,1.0,,1.0,3,1.0,0,80.35,3825.85,0.0,90.0,1800.5700000000002,5716.42,,0.0,1.9148936170212767,38.31
6295-OSINB,1.0,,1.0,0.0,0.0,1.0,0.0,1.0,288,,34.079934,-118.046695,1,0.0,1.0,24.0,3,,0.0,1.0,0.0,0,29.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0,0.0,1,40.65,933.3,0.0,0.0,0.0,933.3,,0.0,0.0,0.0
1814-WFGVS,1.0,80.0,1.0,0.0,0.0,1.0,0.0,2.0,774,,34.083086,-117.737997,1,,,,6,,,,,4,,,,,,,,,,3,,3,,,,,,,,,,
4236-UJPWO,0.0,73.0,1.0,0.0,,1.0,0.0,1.0,849,,32.787836,-117.232376,0,1.0,,37.0,3,0.0,,,0.0,2,19.0,1.0,,0.0,1.0,0.0,0.0,1.0,0.0,0,0.0,0,,3744.05,0.0,0.0,1408.22,,,0.0,0.0,38.06
7801-CEDNV,,75.0,1.0,0.0,,1.0,0.0,3.0,1101,,,,0,1.0,0.0,1.0,0,0.0,39.61,0.0,0.0,2,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,1,74.45,74.45,0.0,0.0,,,,0.0,0.0,
5174-ITUMV,1.0,65.0,1.0,0.0,0.0,1.0,0.0,3.0,1101,,,,0,0.0,1.0,,3,0.0,18.26,,,4,3.0,1.0,0.0,,1.0,1.0,0.0,0.0,0.0,3,1.0,0,84.95,2169.75,0.0,,474.7600000000001,2644.51,,,,
7470-DYNOE,1.0,80.0,1.0,0.0,0.0,1.0,0.0,3.0,1101,,,,1,,,,6,,,,,4,,,,,,,,,,3,,3,,,,,,,,,,
3768-NLUBH,1.0,68.0,1.0,0.0,,1.0,0.0,1.0,1101,,,,1,0.0,5.0,68.0,0,,1.98,0.0,0.0,2,19.0,0.0,,1.0,1.0,,0.0,1.0,0.0,1,0.0,3,96.55,6581.9,0.0,0.0,134.64,6716.54,,0.0,0.0,1.9799999999999998
9076-AXYIK,1.0,68.0,1.0,0.0,1.0,1.0,0.0,1.0,908,,,-119.001021,1,1.0,0.0,1.0,5,0.0,30.23,,,2,30.0,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0,0.0,0,89.3,89.3,0.0,0.0,30.23,119.53,,0.0,0.0,30.23
0853-TWRVK,0.0,78.0,1.0,0.0,0.0,1.0,0.0,1.0,583,,38.014457,-122.115432,1,,,,6,,,,,4,,,,,,,,,,3,,3,,,,,,,,,,
7541-YLXCL,0.0,68.0,1.0,0.0,,1.0,0.0,,1101,,,,0,1.0,0.0,3.0,5,0.0,,0.0,0.0,2,,,,0.0,,0.0,0.0,1.0,0.0,0,0.0,0,105.0,294.45,0.0,0.0,106.29,400.74,,0.0,0.0,35.43
2408-TZMJL,1.0,78.0,1.0,0.0,1.0,1.0,0.0,2.0,1086,,38.169605,-121.310964,0,1.0,0.0,47.0,0,0.0,14.22,0.0,0.0,2,11.0,1.0,0.0,1.0,0.0,,1.0,1.0,,0,0.0,0,95.05,4504.55,,,668.34,5172.89,,,,14.22
9907-SWKKF,,66.0,1.0,0.0,0.0,1.0,0.0,1.0,1101,,,,0,0.0,5.0,38.0,0,0.0,15.78,,0.0,2,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0,,0,74.95,2869.85,0.0,0.0,599.64,3469.49,,0.0,0.0,15.78
9259-PACGQ,0.0,,1.0,0.0,1.0,1.0,0.0,1.0,920,,38.470423,-121.114897,1,,,,6,,,,,4,,,,,,,,,,3,,3,,,,,,,,,,
8591-TKMZH,0.0,65.0,1.0,0.0,1.0,1.0,0.0,2.0,266,,,-118.140588,0,1.0,0.0,3.0,5,0.0,,0.0,0.0,2,8.0,1.0,1.0,0.0,1.0,0.0,,1.0,0.0,0,1.0,0,,289.1,0.0,0.0,78.96000000000001,368.06000000000006,,0.0,0.0,26.320000000000004
3068-OMWZA,1.0,78.0,1.0,0.0,0.0,1.0,0.0,,1101,,,,0,0.0,1.0,2.0,5,0.0,17.73,0.0,0.0,2,18.0,1.0,1.0,,1.0,1.0,1.0,1.0,0.0,0,,0,79.2,172.85,0.0,0.0,35.46,208.31,,0.0,0.0,17.73
6050-FFXES,0.0,73.0,1.0,0.0,,1.0,0.0,1.0,1101,,,,0,0.0,1.0,57.0,2,0.0,42.1,0.0,,2,3.0,1.0,1.0,0.0,,0.0,0.0,1.0,0.0,0,1.0,3,,5746.15,0.0,0.0,,8145.85,,0.0,0.0,
2239-CFOUJ,0.0,74.0,1.0,0.0,0.0,1.0,0.0,1.0,481,,34.234912,-118.153729,1,,,,6,,,,,4,,,,,,,,,,3,,3,,,,,,,,,,
6993-YCOBK,0.0,71.0,1.0,0.0,0.0,1.0,0.0,2.0,12,,34.090925,-118.128164,0,0.0,,3.0,6,0.0,41.3,0.0,0.0,2,2.0,1.0,,0.0,1.0,0.0,0.0,1.0,,0,0.0,0,105.9,334.65,0.0,0.0,123.9,,,0.0,0.0,41.300000000000004
6859-QNXIQ,0.0,69.0,1.0,0.0,,1.0,0.0,1.0,1101,,,,1,,,,6,,,,,4,,,,,,,,,,3,,3,,,,,,,,,,
0347-UBKUZ,1.0,79.0,1.0,0.0,,1.0,0.0,,849,,32.76501,-117.19938,0,1.0,0.0,22.0,0,0.0,5.09,0.0,0.0,2,23.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.0,0,74.4,1692.6,0.0,0.0,111.98,,,0.0,0.0,5.09
5687-DKDTV,0.0,79.0,1.0,0.0,1.0,1.0,0.0,,1101,,,,0,,0.0,1.0,6,0.0,8.35,0.0,,2,23.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0,75.75,75.75,,,8.35,,,,,8.35
7216-KAOID,1.0,65.0,1.0,0.0,0.0,1.0,0.0,4.0,550,,,-118.308933,1,0.0,9.0,,0,0.0,30.6,0.0,0.0,1,2.0,0.0,1.0,1.0,,0.0,1.0,,,1,0.0,1,69.5,1752.65,0.0,0.0,765.0,2517.65,,,,
2823-LKABH,,73.0,1.0,0.0,1.0,,,,42,,33.867593,-118.080637,1,1.0,0.0,71.0,6,1.0,,1.0,0.0,1,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,0.0,0,56.45,3985.35,0.0,0.0,0.0,3985.35,,0.0,0.0,0.0
7026-YMSBE,1.0,69.0,1.0,0.0,0.0,1.0,0.0,3.0,1101,,,,1,0.0,5.0,29.0,0,1.0,0.0,1.0,0.0,0,23.0,,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1,0.0,0,45.0,1228.65,0.0,0.0,0.0,,,0.0,0.0,0.0
7449-HVPIV,0.0,71.0,1.0,0.0,0.0,0.0,1.0,,752,,32.800671,,0,0.0,9.0,,0,,28.3,0.0,0.0,4,27.0,1.0,0.0,1.0,1.0,0.0,,1.0,0.0,3,1.0,3,101.15,3741.85,0.0,0.0,1075.4,4817.25,,,,
1098-KFQEC,1.0,73.0,1.0,0.0,1.0,1.0,0.0,3.0,130,,,-115.431225,0,1.0,0.0,2.0,5,0.0,23.91,1.0,0.0,0,,,1.0,,1.0,1.0,1.0,1.0,,1,0.0,0,44.3,89.3,0.0,0.0,,137.12,,0.0,0.0,
0486-LGCCH,,74.0,1.0,0.0,1.0,1.0,0.0,4.0,1101,,,,0,1.0,0.0,33.0,3,1.0,0.0,1.0,0.0,0,,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0.0,0,54.6,1803.7,0.0,0.0,0.0,1803.7,,0.0,0.0,0.0
7493-TPUWZ,0.0,77.0,1.0,0.0,0.0,1.0,0.0,5.0,597,,33.653338,-117.178271,0,0.0,1.0,29.0,3,0.0,,0.0,0.0,1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,0.0,0,,1442.0,0.0,0.0,,2533.85,,0.0,0.0,
4390-KYULV,0.0,80.0,1.0,0.0,,0.0,1.0,5.0,1101,,,,0,1.0,0.0,68.0,1,0.0,32.11,0.0,0.0,2,,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0.0,1,107.15,7379.8,0.0,50.0,2183.48,9613.28,,0.0,0.7352941176470589,32.11
0019-EFAEP,,68.0,1.0,0.0,0.0,1.0,0.0,3.0,23,,33.807864,-117.923782,0,0.0,3.0,35.0,3,0.0,20.44,0.0,0.0,2,18.0,0.0,0.0,1.0,,,0.0,1.0,0.0,1,0.0,0,94.55,3365.4,0.0,0.0,715.4000000000001,4080.8,,0.0,0.0,20.44
9548-LIGTA,,72.0,1.0,0.0,1.0,1.0,0.0,5.0,930,,34.297628,-119.014627,0,1.0,0.0,72.0,1,0.0,,0.0,0.0,2,,1.0,0.0,0.0,,0.0,,1.0,0.0,2,1.0,0,,7943.45,0.0,0.0,3226.32,,,0.0,0.0,44.81
8097-OMULG,0.0,,1.0,0.0,0.0,0.0,1.0,5.0,1101,,,,0,0.0,8.0,,0,0.0,28.64,0.0,0.0,2,22.0,1.0,1.0,1.0,1.0,,1.0,,0.0,1,0.0,1,,775.3,0.0,0.0,315.04,1090.34,,,,
2661-GKBTK,1.0,65.0,1.0,0.0,0.0,1.0,0.0,,1101,,,,0,0.0,5.0,62.0,6,0.0,,0.0,0.0,2,25.0,1.0,0.0,0.0,1.0,,1.0,1.0,0.0,3,0.0,1,97.95,5936.55,0.0,0.0,707.42,6643.97,,0.0,0.0,11.41
