Customer ID,Count_x,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,Satisfaction Score,Count_y,Country,State,City,Zip Code,Lat Long,Latitude,Longitude,Count,Quarter,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,ID,Population
6557-BZXLQ,1.0,Male,71.0,No,Yes,,No,0.0,2.0,1.0,United States,California,Glendale,,"34.136306, -118.26036",34.136306,-118.26036,1.0,Q3,No,0.0,1.0,Offer E,,15.28,No,Yes,,14.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,45.1,45.1,,,15.28,,,
4727-MCYZG,,Male,75.0,No,,No,No,,3.0,,United States,California,Reseda,,"34.200175, -118.540958",34.200175,,1.0,Q3,No,0.0,1.0,Offer E,No,0.0,No,Yes,DSL,26.0,,Yes,Yes,No,No,,No,Yes,Month-to-Month,Yes,Bank Withdrawal,43.3,43.3,0.0,0.0,0.0,43.3,,
8241-JUIQO,1.0,Female,73.0,No,Yes,No,No,0.0,2.0,1.0,United States,,San Diego,,"32.825086, -117.199424",32.825086,-117.199424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9824-QCJPK,1.0,Male,75.0,No,Yes,Yes,No,0.0,3.0,,,,,,,,,1.0,Q3,Yes,1.0,29.0,None,Yes,25.78,Yes,Yes,Fiber Optic,28.0,No,,Yes,,,Yes,Yes,No,Month-to-Month,Yes,,98.5,3004.15,37.55,40.0,747.62,3754.22,,
3012-VFFMN,1.0,Female,68.0,No,Yes,No,No,,3.0,1.0,United States,California,Corona Del Mar,,,33.600987,-117.862734,1.0,,No,0.0,1.0,None,Yes,43.61,No,Yes,Fiber Optic,2.0,No,No,No,,Yes,Yes,Yes,Yes,Month-to-Month,Yes,,91.3,91.3,0.0,0.0,43.61,134.91,,
9786-YWNHU,1.0,Female,78.0,No,Yes,Yes,No,0.0,1.0,1.0,United States,,Newport Beach,,"33.62251, -117.927024",33.62251,-117.927024,1.0,Q3,Yes,4.0,,None,Yes,17.35,Yes,,Fiber Optic,23.0,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,100.8,100.8,0.0,0.0,17.35,118.15,,
6599-SFQVE,1.0,Female,79.0,No,,No,No,0.0,,,,,,,,,,1.0,,No,0.0,21.0,None,Yes,,Yes,Yes,Fiber Optic,9.0,,No,No,,Yes,Yes,No,Yes,Month-to-Month,Yes,,94.25,1973.75,,0.0,444.15,2417.9,,
5117-IFGPS,1.0,,65.0,No,Yes,Yes,No,0.0,1.0,,,,,,,,,1.0,,Yes,1.0,40.0,,Yes,49.5,Yes,,Fiber Optic,20.0,No,,No,No,,Yes,Yes,Yes,Month-to-Month,Yes,,,3640.45,0.0,,1980.0,5620.45,,
5419-KLXBN,,Male,76.0,No,Yes,Yes,No,0.0,1.0,,,,,,,,,1.0,Q3,Yes,,46.0,,Yes,49.11,Yes,Yes,,17.0,Yes,,Yes,No,Yes,No,No,,Month-to-Month,Yes,Bank Withdrawal,100.7,4541.2,46.64,0.0,2259.06,6753.619999999999,,
7921-BEPCI,1.0,Male,65.0,No,Yes,Yes,No,0.0,2.0,1.0,United States,California,San Lucas,,,36.125529,-120.864443,1.0,Q3,Yes,1.0,36.0,None,Yes,24.54,Yes,Yes,Fiber Optic,5.0,No,,No,No,,Yes,Yes,,Month-to-Month,Yes,Credit Card,85.25,3132.75,0.0,0.0,,4016.19,,
2115-BFTIW,1.0,Male,79.0,No,Yes,No,No,0.0,1.0,,,,,,,,,1.0,Q3,No,0.0,45.0,None,Yes,10.67,No,Yes,DSL,,Yes,No,Yes,No,No,Yes,No,Yes,One Year,No,Credit Card,62.7,2791.5,0.0,0.0,480.15,3271.65,,
8199-ZLLSA,1.0,Male,73.0,No,Yes,No,No,,2.0,,,,,,,,,1.0,Q3,No,0.0,25.0,Offer C,Yes,46.34,Yes,Yes,Fiber Optic,22.0,No,Yes,Yes,No,Yes,,No,Yes,Month-to-Month,No,Credit Card,105.95,2655.25,0.0,0.0,1158.5,3813.75,,
1116-DXXDF,1.0,Female,,No,Yes,No,No,0.0,,,,,,,,,,1.0,Q3,No,,10.0,Offer D,No,0.0,No,,,4.0,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,34.7,329.8,0.0,0.0,0.0,329.8,,
5176-OLSKT,1.0,Male,67.0,No,Yes,Yes,,0.0,1.0,,,,,,,,,1.0,Q3,Yes,1.0,3.0,Offer E,No,0.0,No,Yes,DSL,20.0,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,36.45,93.7,0.0,0.0,0.0,93.7,,
1047-NNCBF,1.0,Female,68.0,No,Yes,No,No,0.0,2.0,1.0,United States,California,Tahoe Vista,,"39.24124, -120.054765",39.24124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4702-HDRKD,,Male,73.0,No,Yes,No,,0.0,,,,,,,,,,1.0,Q3,No,0.0,38.0,Offer C,Yes,5.75,No,,,,No,Yes,Yes,Yes,Yes,No,No,Yes,One Year,Yes,Credit Card,,2497.35,0.0,0.0,218.5,2715.85,,
8421-WZOOW,1.0,Male,71.0,No,Yes,Yes,No,0.0,,,,,,,,,,1.0,Q3,Yes,1.0,1.0,None,Yes,4.89,Yes,Yes,Fiber Optic,11.0,No,No,,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.1,95.1,0.0,0.0,4.89,99.99,,
6584-VQMYT,1.0,Male,79.0,,Yes,No,No,0.0,1.0,1.0,United States,California,Arcadia,,,34.128284,-118.047732,,Q3,No,0.0,5.0,None,Yes,4.59,No,,Fiber Optic,11.0,No,No,No,No,Yes,Yes,,,,Yes,Bank Withdrawal,91.4,449.75,,0.0,22.95,472.7,,
1135-LMECX,,Male,75.0,No,Yes,No,No,0.0,1.0,1.0,United States,California,North Hollywood,,,34.207295,-118.400022,1.0,Q3,No,0.0,5.0,None,,36.36,Yes,,Fiber Optic,12.0,,,No,No,No,Yes,No,Yes,Month-to-Month,Yes,,89.8,502.6,0.0,,,684.4000000000001,,
7217-JYHOQ,1.0,Female,75.0,No,Yes,Yes,No,0.0,1.0,1.0,United States,California,Pala,,"33.384345, -117.072619",33.384345,,1.0,Q3,Yes,1.0,,Offer E,Yes,6.86,No,,DSL,20.0,No,Yes,No,No,,,No,Yes,,,Credit Card,50.15,,0.0,0.0,,128.82,,
6086-ESGRL,1.0,Male,70.0,No,Yes,Yes,No,0.0,3.0,,,,,,,,,1.0,Q3,Yes,1.0,29.0,Offer C,Yes,35.38,Yes,Yes,Fiber Optic,21.0,No,Yes,Yes,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,95.9,2745.2,,,1026.02,3821.22,,
4138-NAXED,1.0,Male,,No,Yes,No,No,0.0,,,,,,,,,,1.0,Q3,No,0.0,2.0,None,,25.19,Yes,Yes,Fiber Optic,,No,No,No,,,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,93.85,196.75,0.0,0.0,,247.13,,
3778-FOAQW,1.0,Male,65.0,No,Yes,No,No,0.0,2.0,1.0,United States,California,Lake Elsinore,,,33.705836,-117.318204,1.0,Q3,No,0.0,1.0,Offer E,Yes,,No,Yes,Fiber Optic,,No,No,No,No,No,No,No,Yes,Month-to-Month,,,,71.65,0.0,0.0,28.46,,,
0396-UKGAI,1.0,Male,70.0,No,Yes,,No,0.0,3.0,,,,,,,,,1.0,Q3,,0.0,1.0,None,Yes,16.19,No,,Fiber Optic,12.0,No,No,No,,No,No,No,Yes,Month-to-Month,No,,,69.1,0.0,0.0,16.19,85.28999999999999,,
7321-ZNSLA,1.0,Male,78.0,No,Yes,No,No,0.0,2.0,1.0,United States,California,San Pablo,,"37.980269, -122.342635",37.980269,-122.342635,1.0,Q3,No,0.0,2.0,None,Yes,43.66,No,Yes,DSL,25.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,44.15,92.65,0.0,,87.32,179.97,,
8016-ZMGMO,1.0,Female,74.0,No,Yes,No,No,0.0,3.0,1.0,United States,California,San Rafael,,"38.018065, -122.546024",38.018065,-122.546024,,Q3,,0.0,8.0,None,Yes,13.8,Yes,Yes,,6.0,No,No,No,,,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,,,0.0,0.0,110.4,,,
2869-ADAWR,1.0,,78.0,No,Yes,Yes,No,0.0,1.0,1.0,,,Corte Madera,,"37.924014, -122.511694",37.924014,-122.511694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3363-DTIVD,,Male,74.0,No,Yes,,No,0.0,1.0,,,,,,,,,1.0,Q3,Yes,1.0,41.0,Offer B,Yes,45.84,Yes,Yes,Fiber Optic,18.0,Yes,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,83.75,3273.55,0.0,0.0,1879.44,5152.99,,
0983-TATYJ,1.0,Female,68.0,No,Yes,,,0.0,,,,,,,,,,1.0,Q3,,0.0,1.0,None,Yes,,Yes,Yes,,,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,,85.05,,0.0,16.37,101.42,,
0657-DOGUM,1.0,Female,68.0,No,Yes,No,No,,1.0,,,,,,,,,1.0,Q3,No,0.0,4.0,None,Yes,26.23,Yes,Yes,,29.0,No,No,No,No,No,No,No,Yes,Month-to-Month,,Bank Withdrawal,74.9,,0.0,0.0,,426.67,,
3736-BLEPA,1.0,Female,74.0,,,,No,0.0,3.0,,,,,,,,,1.0,Q3,Yes,1.0,66.0,,Yes,21.7,Yes,Yes,Cable,3.0,No,,Yes,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,80.55,5265.1,0.0,0.0,1432.2,,,
1724-BQUHA,1.0,Female,66.0,No,Yes,Yes,No,0.0,1.0,,,,,,,,,1.0,Q3,Yes,1.0,65.0,None,Yes,18.69,Yes,Yes,Fiber Optic,30.0,,Yes,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,106.25,6979.8,0.0,0.0,1214.85,8194.65,,
2386-OWURY,1.0,Male,,No,Yes,No,No,,1.0,1.0,United States,California,Yuba City,,,,-121.70606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4430-YHXGG,1.0,,71.0,,Yes,No,No,0.0,3.0,,,,,,,,,,Q3,No,,3.0,Offer E,,2.26,No,Yes,Fiber Optic,3.0,No,No,No,,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,70.4,204.7,0.0,0.0,6.779999999999999,211.48,,
6769-DYBQN,1.0,Female,70.0,No,Yes,No,No,0.0,,1.0,United States,California,Montrose,,"34.2112, -118.230625",34.2112,-118.230625,1.0,Q3,No,0.0,15.0,None,,7.99,No,Yes,,,No,Yes,No,No,,No,No,Yes,Month-to-Month,,,75.3,1147.45,0.0,0.0,119.85,1267.3,,
6432-TWQLB,1.0,Female,79.0,,Yes,,No,,,1.0,United States,,Burbank,,"34.188339, -118.300942",34.188339,-118.300942,,Q3,No,0.0,1.0,None,No,0.0,No,Yes,Cable,26.0,No,No,No,No,,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,,36.45,0.0,0.0,0.0,,,
5208-FVQKB,1.0,Female,73.0,No,Yes,Yes,No,0.0,1.0,,,,,,,,,1.0,Q3,Yes,1.0,47.0,None,Yes,38.31,,Yes,,7.0,,No,No,No,No,No,,No,,No,Bank Withdrawal,80.35,3825.85,0.0,90.0,1800.5700000000002,5716.42,,
6295-OSINB,1.0,Female,,No,Yes,Yes,No,0.0,1.0,1.0,United States,California,El Monte,,"34.079934, -118.046695",34.079934,-118.046695,1.0,,Yes,1.0,24.0,Offer C,,0.0,No,Yes,Cable,29.0,No,No,Yes,No,No,Yes,No,Yes,Month-to-Month,Yes,Credit Card,40.65,933.3,0.0,0.0,0.0,933.3,,
1814-WFGVS,1.0,Female,80.0,No,Yes,Yes,No,0.0,2.0,,United States,,Pomona,,,34.083086,-117.737997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4236-UJPWO,1.0,Male,73.0,No,Yes,,No,0.0,1.0,,United States,California,San Diego,,"32.787836, -117.232360",32.787836,-117.232376,1.0,Q3,No,,37.0,Offer C,Yes,,,Yes,Fiber Optic,19.0,No,,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,,3744.05,0.0,0.0,1408.22,,,
7801-CEDNV,1.0,,75.0,No,Yes,,No,0.0,3.0,,,,,,,,,,Q3,No,0.0,1.0,None,Yes,39.61,Yes,Yes,Fiber Optic,16.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,74.45,74.45,0.0,0.0,,,,
5174-ITUMV,1.0,Female,65.0,No,Yes,Yes,,0.0,3.0,,,,,,,,,1.0,Q3,Yes,1.0,,Offer C,Yes,18.26,,,,3.0,No,Yes,,No,No,Yes,Yes,Yes,,No,Bank Withdrawal,84.95,2169.75,0.0,,474.7600000000001,2644.51,,
7470-DYNOE,1.0,Female,80.0,No,Yes,Yes,No,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3768-NLUBH,1.0,Female,68.0,No,Yes,,No,0.0,1.0,,,,,,,,,,,Yes,5.0,68.0,None,,1.98,Yes,Yes,Fiber Optic,19.0,Yes,,No,No,,Yes,No,Yes,One Year,Yes,,96.55,6581.9,0.0,0.0,134.64,6716.54,,
9076-AXYIK,1.0,Female,68.0,No,Yes,No,No,0.0,1.0,1.0,United States,California,Shaver Lake,,"37.223, -119.001021",,-119.001021,,,No,0.0,1.0,Offer E,Yes,30.23,,,Fiber Optic,30.0,No,No,No,No,Yes,Yes,,Yes,Month-to-Month,Yes,Bank Withdrawal,89.3,89.3,0.0,0.0,30.23,119.53,,
0853-TWRVK,1.0,Male,78.0,No,Yes,Yes,No,0.0,1.0,1.0,United States,California,Martinez,,"38.014457, -122.115432",38.014457,-122.115432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7541-YLXCL,1.0,Male,68.0,No,Yes,,No,,,,,,,,,,,1.0,Q3,No,0.0,3.0,Offer E,Yes,,Yes,Yes,Fiber Optic,,,,Yes,,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,105.0,294.45,0.0,0.0,106.29,400.74,,
2408-TZMJL,1.0,Female,78.0,No,Yes,No,No,,2.0,1.0,United States,California,Woodbridge,,"38.169605, -121.310964",38.169605,-121.310964,1.0,Q3,No,0.0,47.0,None,Yes,14.22,Yes,Yes,Fiber Optic,11.0,No,Yes,No,Yes,,No,No,,Month-to-Month,Yes,Bank Withdrawal,95.05,4504.55,,,668.34,5172.89,,
9907-SWKKF,1.0,,66.0,,Yes,Yes,No,0.0,1.0,,,,,,,,,1.0,Q3,Yes,5.0,38.0,None,Yes,15.78,,Yes,Fiber Optic,,No,No,No,No,No,No,No,,Month-to-Month,,Bank Withdrawal,74.95,2869.85,0.0,0.0,599.64,3469.49,,
9259-PACGQ,1.0,Male,,No,Yes,No,No,0.0,1.0,1.0,,California,Sloughhouse,,"38.470423, -121.114897",38.470423,-121.114897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8591-TKMZH,1.0,Male,65.0,No,Yes,No,No,0.0,2.0,1.0,,California,Downey,,"33.921793, -118.140588",,-118.140588,1.0,Q3,No,0.0,3.0,Offer E,Yes,,Yes,Yes,Fiber Optic,8.0,No,No,Yes,No,Yes,,No,Yes,Month-to-Month,No,Bank Withdrawal,,289.1,0.0,0.0,78.96000000000001,368.06000000000006,,
3068-OMWZA,,Female,78.0,No,Yes,Yes,No,,,,,,,,,,,1.0,Q3,Yes,1.0,2.0,Offer E,Yes,17.73,Yes,Yes,Fiber Optic,18.0,No,No,,No,No,No,No,Yes,Month-to-Month,,Bank Withdrawal,79.2,172.85,0.0,0.0,35.46,208.31,,
6050-FFXES,1.0,Male,73.0,No,Yes,,No,0.0,1.0,,,,,,,,,1.0,Q3,Yes,1.0,57.0,Offer B,Yes,42.1,Yes,,Fiber Optic,3.0,No,No,Yes,,Yes,Yes,No,Yes,Month-to-Month,No,,,5746.15,0.0,0.0,,8145.85,,
2239-CFOUJ,1.0,Male,74.0,No,Yes,Yes,No,0.0,1.0,1.0,United States,California,La Canada Flintridge,,"34.234912, -118.153729",34.234912,-118.153729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6993-YCOBK,1.0,Male,71.0,No,Yes,Yes,No,0.0,2.0,1.0,United States,California,Alhambra,,,34.090925,-118.128164,1.0,Q3,Yes,,3.0,,Yes,41.3,Yes,Yes,Fiber Optic,2.0,No,,Yes,No,Yes,Yes,No,,Month-to-Month,Yes,Bank Withdrawal,105.9,334.65,0.0,0.0,123.9,,,
6859-QNXIQ,,Male,69.0,No,Yes,,No,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0347-UBKUZ,1.0,Female,79.0,No,Yes,,No,0.0,,1.0,United States,California,San Diego,,"32.76501, -117.19938",32.76501,-117.19938,1.0,Q3,No,0.0,22.0,None,Yes,5.09,Yes,Yes,Fiber Optic,23.0,,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,74.4,1692.6,0.0,0.0,111.98,,,
5687-DKDTV,1.0,Male,79.0,No,Yes,No,No,0.0,,,,,,,,,,1.0,Q3,,0.0,1.0,,Yes,8.35,Yes,,Fiber Optic,23.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.75,75.75,,,8.35,,,
7216-KAOID,1.0,Female,65.0,No,Yes,Yes,No,0.0,4.0,,United States,California,Los Angeles,,"34.003553, -118.308933",,-118.308933,1.0,,Yes,9.0,,None,Yes,30.6,Yes,Yes,DSL,2.0,Yes,No,No,,Yes,No,,,One Year,Yes,Credit Card,69.5,1752.65,0.0,0.0,765.0,2517.65,,
2823-LKABH,1.0,,73.0,No,Yes,No,,,,1.0,United States,California,Artesia,,"33.867593, -118.080637",33.867593,-118.080637,1.0,,No,0.0,71.0,,No,,No,Yes,DSL,,Yes,Yes,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,56.45,3985.35,0.0,0.0,0.0,3985.35,,
7026-YMSBE,1.0,Female,69.0,No,Yes,Yes,No,,3.0,,,,,,,,,,,Yes,5.0,29.0,None,No,0.0,No,Yes,Cable,23.0,,No,Yes,No,No,Yes,No,Yes,One Year,Yes,Bank Withdrawal,45.0,1228.65,0.0,0.0,0.0,,,
7449-HVPIV,1.0,Male,71.0,No,Yes,Yes,Yes,1.0,,1.0,United States,,Pine Valley,,"32.800671, -116.483363",32.800671,,1.0,Q3,Yes,9.0,,None,,28.3,Yes,Yes,,27.0,No,Yes,No,No,Yes,,No,Yes,,No,,101.15,3741.85,0.0,0.0,1075.4,4817.25,,
1098-KFQEC,1.0,Female,73.0,No,Yes,No,No,,3.0,1.0,United States,,Calexico,,"32.690654, -115.431225",,-115.431225,1.0,Q3,No,0.0,2.0,Offer E,Yes,23.91,No,Yes,Cable,,,No,,No,No,No,No,,One Year,Yes,Bank Withdrawal,44.3,89.3,0.0,0.0,,137.12,,
0486-LGCCH,1.0,,74.0,No,Yes,No,No,0.0,4.0,,,,,,,,,1.0,Q3,No,0.0,33.0,Offer C,No,0.0,No,Yes,Cable,,No,No,Yes,Yes,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,54.6,1803.7,0.0,0.0,0.0,1803.7,,
7493-TPUWZ,,Male,77.0,No,Yes,Yes,No,0.0,5.0,1.0,United States,California,Menifee,,"33.653338, -117.178271",33.653338,-117.178271,1.0,Q3,Yes,1.0,29.0,Offer C,Yes,,Yes,Yes,DSL,,No,No,No,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,,1442.0,0.0,0.0,,2533.85,,
4390-KYULV,1.0,Male,80.0,No,Yes,,Yes,1.0,5.0,,,,,,,,,1.0,Q3,No,0.0,68.0,Offer A,Yes,32.11,Yes,Yes,Fiber Optic,,,No,Yes,Yes,Yes,Yes,No,No,One Year,Yes,Credit Card,107.15,7379.8,0.0,50.0,2183.48,9613.28,,
